                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2781,                  0.895,                      1,                 1.0985,             0.00023705,             0.00023705,             0.00023705
                      2,                0.64733,                  0.967,                      1,                0.96423,             0.00047035,             0.00047035,             0.00047035
                      3,                0.51456,                  0.964,                      1,                0.96271,             0.00069893,             0.00069893,             0.00069893
                      4,                0.42199,                  0.988,                      1,                0.93938,             0.00069279,             0.00069279,             0.00069279
                      5,                0.40326,                  0.985,                      1,                0.93235,             0.00069279,             0.00069279,             0.00069279
                      6,                0.32427,                  0.971,                      1,                0.94615,             0.00068573,             0.00068573,             0.00068573
                      7,                0.32674,                  0.993,                      1,                0.92174,             0.00067866,             0.00067866,             0.00067866
                      8,                0.28872,                  0.994,                      1,                0.92014,             0.00067159,             0.00067159,             0.00067159
                      9,                0.29436,                  0.997,                      1,                0.91727,             0.00066452,             0.00066452,             0.00066452
                     10,                0.26816,                  0.992,                      1,                0.91627,             0.00065745,             0.00065745,             0.00065745
                     11,                0.23357,                  0.999,                      1,                0.91203,             0.00065038,             0.00065038,             0.00065038
                     12,                0.26083,                  0.987,                      1,                0.92265,             0.00064331,             0.00064331,             0.00064331
                     13,                 0.2669,                  0.992,                      1,                0.91724,             0.00063625,             0.00063625,             0.00063625
                     14,                0.25023,                  0.995,                      1,                0.91317,             0.00062918,             0.00062918,             0.00062918
                     15,                0.24038,                  0.993,                      1,                0.91694,             0.00062211,             0.00062211,             0.00062211
                     16,                0.22308,                  0.997,                      1,                0.91076,             0.00061504,             0.00061504,             0.00061504
                     17,                0.21515,                  0.998,                      1,                0.90971,             0.00060797,             0.00060797,             0.00060797
                     18,                0.20697,                  0.997,                      1,                0.90955,              0.0006009,              0.0006009,              0.0006009
                     19,                0.21046,                  0.998,                      1,                0.90931,             0.00059383,             0.00059383,             0.00059383
                     20,                0.21248,                  0.999,                      1,                0.91242,             0.00058677,             0.00058677,             0.00058677
                     21,                0.20698,                  0.998,                      1,                0.91204,              0.0005797,              0.0005797,              0.0005797
                     22,                0.20461,                  0.998,                      1,                0.91723,             0.00057263,             0.00057263,             0.00057263
                     23,                0.18908,                  0.998,                      1,                0.91001,             0.00056556,             0.00056556,             0.00056556
                     24,                0.20856,                  0.999,                      1,                0.90851,             0.00055849,             0.00055849,             0.00055849
                     25,                0.20618,                      1,                      1,                0.90778,             0.00055142,             0.00055142,             0.00055142
                     26,                0.19743,                  0.998,                      1,                0.90893,             0.00054435,             0.00054435,             0.00054435
                     27,                0.20114,                  0.998,                      1,                0.90972,             0.00053728,             0.00053728,             0.00053728
                     28,                0.18784,                  0.999,                      1,                 0.9069,             0.00053022,             0.00053022,             0.00053022
                     29,                0.18641,                  0.999,                      1,                0.90947,             0.00052315,             0.00052315,             0.00052315
                     30,                0.17028,                  0.999,                      1,                0.90675,             0.00051608,             0.00051608,             0.00051608
